threshold	term	GeneSize	WindowSize	key	value
0.6	231	8	17	AT1G23740,AT1G30510,AT5G02160,AT4G24750,AT4G01050,AT4G24930,AT4G39730,AT4G01900	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.55	232	6	2	AT2G42220,AT5G42765,AT1G10170,AT1G50250,AT1G80380,AT3G01440	0,1
0.55	233	5	17	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.55	234	5	4	AT1G20810,AT1G03090,AT2G37400,AT2G21530,AT4G23890	0,1,2,3
0.55	235	66	17	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT5G19370,AT1G18730,AT1G67280,AT2G27290,AT5G01500,AT4G16155,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT2G26800	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.55	236	7	17	AT1G23740,AT1G30510,AT1G79450,AT5G53490,AT4G24930,AT1G14590,AT4G01900	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.5	237	69	17	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT5G01500,AT4G16155,AT5G19370,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT2G20270,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT5G52440,AT2G26800	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.5	238	6	6	AT3G01480,AT4G33520,AT1G73530,AT4G25050,AT4G31390,AT1G03600	0,1,2,3,4,5
0.5	239	5	17	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.5	240	8	17	AT1G23740,AT1G30510,AT5G02160,AT4G24750,AT4G01050,AT4G24930,AT1G14590,AT4G01900	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.5	241	5	17	AT2G26360,AT3G17830,AT3G47450,AT2G41680,AT4G36810	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.45	242	6	17	AT4G36810,AT2G26360,AT3G47450,AT4G25910,AT3G17830,AT2G41680	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.45	243	5	17	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.45	244	70	17	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT4G16155,AT5G19370,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT2G20270,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT5G52440,AT2G26800	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.45	245	5	4	AT2G42220,AT1G80380,AT1G10170,AT4G01050,AT1G14590	0,1,2,3
0.45	246	11	17	AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT4G24930,AT4G39730,AT1G14590,AT4G01900,AT1G10170	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.45	247	5	14	AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT4G25050	0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.4	248	71	17	AT2G17630,AT4G38380,AT3G10470,AT3G46780,AT5G53170,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G13120,AT4G04020,AT5G39830,AT1G74710,AT2G29500,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT5G42270,AT1G15820,AT2G37660,AT2G22360,AT1G67700,AT1G18730,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT4G16155,AT5G19370,AT2G30950,AT5G20140,AT1G55370,AT2G20260,AT3G55330,AT1G52220,AT3G08920,AT1G79230,AT2G20270,AT5G16150,AT5G03455,AT3G57680,AT1G22450,AT4G35770,AT5G52440,AT2G26800	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.4	249	5	17	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.4	250	5	5	AT1G20810,AT1G03090,AT2G37400,AT2G21530,AT4G23890	0,1,2,3,4
0.4	251	12	17	AT1G23740,AT1G30510,AT1G79450,AT5G02160,AT4G24750,AT4G01050,AT4G24930,AT4G39730,AT1G14590,AT5G23890,AT4G01900,AT1G10170	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.4	252	6	17	AT4G36810,AT2G26360,AT3G47450,AT4G25910,AT3G17830,AT2G41680	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.4	253	5	17	AT3G01480,AT1G73530,AT4G33520,AT4G31390,AT4G25050	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.35	254	6	5	AT1G73530,AT4G25050,AT3G19490,AT2G04030,AT4G31390,AT1G03600	0,1,2,3,4
0.35	255	5	17	AT3G56040,AT1G79040,AT1G44575,AT1G65230,AT1G71500	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.35	256	5	5	AT1G20810,AT1G03090,AT2G37400,AT2G21530,AT4G23890	0,1,2,3,4
