threshold	term	key	value
1.0 	184	AT5G59250,AT3G46780,AT1G55370,AT4G16155,AT4G13010,AT2G24020,AT1G51350,AT1G15140,AT1G50460	0,1,2
1.0 	185	AT1G80030,AT1G12250,AT5G39830,AT4G19830,AT1G66670	0,1,2,3,4,5,6,7
1.0 	186	AT2G21160,AT3G53560,AT1G78915,AT5G62720,AT2G37230,AT5G02160	0,1
1.0 	187	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT1G03090,AT3G25480,AT2G21530,AT5G35170	0,1,2
1.0 	188	AT2G42975,AT1G79450,AT4G39730,AT4G39960,AT5G53490,AT1G23740	0,1,2
0.99 	189	AT2G17630,AT2G30950,AT1G79230,AT3G10470,AT4G04020,AT5G19370,AT5G42270,AT5G03455,AT5G42070,AT1G67280,AT2G27290,AT5G01500,AT5G15250	0,1,2,3,4,5,6
0.99 	190	AT2G42975,AT1G79450,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT1G23740,AT4G01900	0,1,2
0.98 	191	AT3G10130,AT2G42975,AT1G79450,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT1G23740,AT1G03850,AT4G01900	0,1,2
0.98 	192	AT2G17630,AT3G10470,AT5G13120,AT4G13670,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT1G66670,AT1G54050,AT5G42270,AT2G27290,AT2G35040,AT4G19830,AT3G28850,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT2G26800	0,1,2,3,4,5,6
0.97 	193	AT2G17630,AT3G10470,AT5G13120,AT4G13670,AT1G14150,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT2G20270,AT1G66670,AT1G54050,AT5G42270,AT2G27290,AT1G17850,AT2G35040,AT4G19830,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT3G26580,AT1G80030,AT5G01500,AT2G30950,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT5G15250,AT2G26800	0,1,2,3,4,5,6
0.97 	194	AT1G20810,AT2G30695,AT2G37400,AT1G21750,AT1G03090,AT3G25480,AT2G21530,AT5G35170,AT3G15360	0,1,2
0.97 	195	AT2G42975,AT2G21160,AT1G79450,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT1G23740,AT2G37230,AT4G01900	0,1,2
0.96 	196	AT1G51350,AT5G59250,AT4G16155,AT4G13010,AT5G52440	0,1,2,3,4
0.96 	197	AT1G15140,AT3G21055,AT4G13010,AT1G54500,AT1G51350,AT3G46780,AT4G16155	0,1,2,3
0.96 	198	AT2G42975,AT4G39960,AT3G10130,AT1G76760,AT2G37230	0,1,2,3,4,5,6
